call_type,address,state,time,lon,lat
"Suspicious Subj, Veh, Or Circumstance",4800 Block of N Basin Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6995855,45.5581038
"Suspicious Subj, Veh, Or Circumstance",N Princeton St & N Burlington Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7362163,45.5823694
Accident - Hit and Run - Cold,200 Block of NE Martin Luther King Jr Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6617219,45.5244753
Disturbance - Priority,400 Block of NE Columbia Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6612458,45.5811016
"Suspicious Subj, Veh, Or Circumstance",6800 Block of N Lombard St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7366437,45.5865208
Vehicle Stolen - Cold,100 Block of NE 102nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.558283,45.52343
"Suspicious Subj, Veh, Or Circumstance",4200 Block of SE 33rd Pl,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6307596,45.4926271
Disturbance - Priority,6600 Block of NE Glisan St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5956574,45.5264783
Hazard - Hazardous Condition,13800 Block SE Ramona St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5215331,45.4803419
"Suspicious Subj, Veh, Or Circumstance",122nd Ave & E Burnside St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-82.7706337,27.8837193
Theft - Cold,8600 Block of N Columbia Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7173015,45.5939837
"Suspicious Subj, Veh, Or Circumstance",7700 Block of SE 92nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5685769,45.467511
Vehicle Stolen - Cold,7300 Block of SE Carlton St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5880283,45.4782421
Unwanted Person,2000 Block SE 9th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6567442,45.5086486
"Suspicious Subj, Veh, Or Circumstance",5500 Block of SE 104th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5557026,45.482619
Unwanted Person,900 Block of NE Glisan St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6566017,45.5265638
Hazard - Hazardous Condition,NW Northrup St /NW 25th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7026736,45.5311425
Unwanted Person,1400 Block of SW 11th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.68566,45.5156186
Unwanted Person,1800 Block of SE 41st Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6201959,45.5101409
"Suspicious Subj, Veh, Or Circumstance",SE Mcloughlin Blvd & SE Bybee Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.638787,45.4364093
Disturbance - Priority,13300 Block of SE Bush St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5262163,45.4954179
Threat - Cold,14200 Block of E Burnside St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.516946,45.5222651
Burglary - Priority *H,7300 Block of N Albina Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6748059,45.5758149
Unwanted Person,900 Block of NE Glisan St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6566017,45.5265638
Vehicle Stolen - Cold,6200 Block of N Columbia Way,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7296716,45.5937762
Trimet Incident - Cold,1100 Block of NE 99th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5622015,45.5305645
Unwanted Person,7400 Block of NE Killingsworth St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5866007,45.5626589
Premise Check,12700 Block of NE Halsey St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5323704,45.5335343
Theft - Priority,3400 Block of NE 79th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5817988,45.547324
"Suspicious Subj, Veh, Or Circumstance",5500 Block of SW 23rd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7007872,45.482097
Assault - Priority,SE 82nd Ave & SE Flavel St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.579036,45.4713667
Premise Check,200 Block of SE 93rd Ave ,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5679837,45.5206538
Theft - Cold,10200 Block of N Vancouver Way,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6686068,45.5959287
Theft - Priority,1000 Block of SE 69th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5922397,45.5161701
Theft - Priority,0 NW 2nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6723632,45.5233546
Suspicious - Priority,NW 14th Ave & NW Everett St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-80.2200677,25.816308
Parking Problem,N Taft Ave & N Cecelia St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-87.9130579,41.8852891
Premise Check,3300 Block of SE 157th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5023378,45.4987287
Threat - Priority,7000 Block of SE Foster Rd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5912773,45.487361
Accident - Injury,8100 Block of SE Stark St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5801377,45.5191399
"Suspicious Subj, Veh, Or Circumstance",2300 Block of SE 89th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5722622,45.5062911
Unwanted Person,300 Block of SW Taylor St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6765052,45.5168661
Trimet Incident - Priority,SW 3rd Ave & SW Morrison St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-80.2065052,25.7566501
"Suspicious Subj, Veh, Or Circumstance",600 Block of NW Everett St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6765343,45.5251997
Unwanted Person,8100 Block of SW Barbur Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6967081,45.4662193
Suspicious - Priority,4400 Block of SE Main St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6170779,45.513579
Unwanted Person,5200 Block of NE 72nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5889068,45.5603169
Vehicle Stolen - Cold,4000 Block of NE 72nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5888179,45.5519001
"Suspicious Subj, Veh, Or Circumstance",3300 Block of SE Milwaukie Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6542161,45.4995565
Vehicle Stolen - Cold,1800 Block of SN Kilpatrick St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6847497,45.582388
Disturbance - Priority,13300 Block of SE Bush St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5262163,45.4954179
Hazard - Hazardous Condition,NB I205 BRG at /Midspan,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.543909,45.582848
Vandalism - Cold,3400 Block of NE Sandy Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6288898,45.5324292
Hazard - Hazardous Condition,SB HWY 30 at & St Johns Brg,"Portland, OR",1901-12-13T20:45:52.“48364Z,-98.7326058,40.7809489
"Suspicious Subj, Veh, Or Circumstance",Spring Garden St & SW 19th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-75.1719627,39.9637164
Area Check,N Kelley Point Park Rd & N Marine Dr,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7637402,45.6466487
Disturbance - Priority,2800 Block of SE 174th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.4846712,45.5022423
Vehicle Stolen - Cold,3400 Block of SE 14th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.651311,45.4981941
Unwanted Person,6300 Block of SE 96th Pl,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.564056,45.4770845
Parking Problem,3200 Block of NE Riverside Way,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6343261,45.580081
Unwanted Person,NE 31st Ave & NE Siskiyou St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6344722,45.5378492
Unwanted Person,4000 Block of SE Hawthorne Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.621202,45.5120458
Assault - Priority,4300 Block of NE 83rd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5776367,45.5540536
Vandalism - Cold,5300 Block of SE Foster Rd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.607972,45.494804
Disturbance - Priority,1100 Block SE Oak St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6546255,45.5200624
"Suspicious Subj, Veh, Or Circumstance",5400 Block of NE 33rd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.630656,45.561511
Assault - Cold,1100 Block of SW 2nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6759976,45.515316
Unwanted Person,3900 Block of SE Boise St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6226033,45.4923638
Unwanted Person,14100 Block of SE Boise St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5942753,45.4920644
Unwanted Person,500 Block of SW College St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6822506,45.5093996
Vehicle Stolen - Cold,8200 Block of SE 75th Pl,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5861376,45.4642423
Accident - Injury,SE 82nd Ave & SE Main St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.579036,45.4713667
Accident - Hit and Run - Cold,100 Block of NE 24th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6414167,45.5235921
"Suspicious Subj, Veh, Or Circumstance",4900 Block of N Hudson St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7403577,45.5902329
Assault - Cold ,400 Block of SW Oak St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6751095,45.5211893
Threat - Cold,15900 Block of E Burnside St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5000665,45.5220413
